time,open,high,low,close,Volume,Volume MA,Developing Poc,Developing VA High,Developing VA Low,Plot,Up Trend,Down Trend,VWAP,Upper Band,Lower Band,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Basis,Upper,Lower,MA2,MA10,MA20,MA50,MA55,MA200,RSI,Histogram,MACD,Signal,K,D
1361664000,29.79990073,31.46089361,28.3429643,29.88999561,28082.95389798,66237.55968299793,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.149720025,32.28035328349847,20.01908676650153,NaN,NaN,NaN,NaN,NaN,NaN,81.54702039070844,0.11923773426906292,2.8586397636371323,2.7394020293680694,19.47000525866539,35.95518207410515
1361750400,29.89001072,30.98012807,28.362,30.39998985,31585.64692609,66095.09351224493,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.637144408999994,32.48532470979361,20.78896410820638,NaN,NaN,NaN,NaN,NaN,NaN,82.71211023374437,0.06958847984782013,2.8263876291778445,2.7567991493300243,6.207610520653284,19.69544158067809
1361836800,30.40903781,31.60322383,29.5,31.23686216,51321.97095765,65600.48425280294,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.138409463,32.75447890691997,21.522340019080023,NaN,NaN,NaN,NaN,NaN,NaN,84.44740906518612,0.06309537005941523,2.8356683619042933,2.772572991844878,23.25179583973524,16.30980387301797
1361923200,31.29461438,31.64181421,30.29155579,31.15566963,38205.20395611,63751.42885315393,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.594352459499998,32.954493479679144,22.234211439320852,NaN,NaN,NaN,NaN,NaN,NaN,83.57095489129132,0.02525951476469901,2.8041473853007517,2.7788878705360527,34.590552653564174,21.349986337984234
1362009600,31.27585785,34.19195858,30.80041653,33.42179008,141741.32005513,68118.30674122443,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.133196073,33.56109872238463,22.70529342361537,NaN,NaN,NaN,NaN,NaN,NaN,87.47744981171972,0.11950451094070091,2.9282685092119287,2.808763998271228,62.67083390130224,40.17106079820055
1362096000,33.38994312,34.90037694,32.514,34.5864035,47606.14520474,68285.03570195693,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.6771685865,34.39459413193213,22.959743041067867,NaN,NaN,NaN,NaN,NaN,NaN,88.93377369785269,0.22102676726817716,3.085047457356449,2.864020690088272,78.9599819155536,58.740456156806665
1362182400,34.59807701,35.6043053,32.692,34.25,41771.4991276,67258.57290508194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.199456024999996,34.949242410067065,23.449669639932928,NaN,NaN,NaN,NaN,NaN,NaN,85.82877443274126,0.22549314694346867,3.145887123767608,2.920393976824139,86.44658084944716,76.02579888876767
1362268800,34.04489164,35.76724627,32.229,33.99760403,16033.69438356,66223.12490684094,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.666707842,35.381281542752106,23.952134141247896,NaN,NaN,NaN,NaN,NaN,NaN,83.47398266132448,0.17373986822827714,3.1375688121094853,2.963828943881208,62.766377546831755,76.05764677061084
1362355200,34.72258145,36.65613333,32.133,35.99523846,59272.36567716,64715.04466123694,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.208434591999996,36.16089004778792,24.25597913621207,NaN,NaN,NaN,NaN,NaN,NaN,86.60614038146151,0.23265788452126168,3.254651299532785,3.0219934150115235,52.64748180511892,67.28681340046595
1362441600,35.62766228,41.46543319,35.62766228,40.67675451,100666.09712882,64785.387156966935,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.0174142735,37.960565456591276,24.074263090408724,NaN,NaN,NaN,NaN,NaN,NaN,90.93989174345838,0.5286027252654995,3.6827468215933976,3.154144096327898,66.1458123284467,60.519890560132446
1362528000,40.46810207,49.37172906,40.39925278,41.9096905,150070.28293496,64082.939239791434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.750014689999993,39.933030885211735,23.56699849478825,NaN,NaN,NaN,NaN,NaN,NaN,91.70144362232311,0.7363123545720489,4.0745345395429595,3.3382221849709106,89.88110425828717,69.55813279728426
1362614400,41.24126899,46.18527286,34.59594403,41.71280161,186575.16179446,70444.58038027692,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.474382700499994,41.45324621120682,23.495519189793168,NaN,NaN,NaN,NaN,NaN,NaN,90.39474730858481,0.7849030924507012,4.319351050534287,3.534447958083586,95.82603137578856,83.95098265417414
1362700800,41.73508315,44.43770274,41.16820039,44.33233432,54874.16129679,71912.72297417992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.323177840499994,43.35421445941614,23.29214122158385,NaN,NaN,NaN,NaN,NaN,NaN,92.02332253384859,0.9091624789758983,4.670901056803459,3.7617385778275603,95.82603137578856,93.8443890032881
1362787200,44.18567593,47.17320119,43.15839406,46.54277544,54433.91467107,70205.97272149593,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.3069113845,45.41405894068599,23.199763828314,NaN,NaN,NaN,NaN,NaN,NaN,93.08826451320358,1.046156191401364,5.069433817079265,4.023277625677901,95.82603137578856,95.82603137578856
1362873600,46.74117817,48.16797162,45.31268043,46.64912277,43185.76954604,70595.26123267543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.29186752299999,47.08717929542932,23.496555750570664,NaN,NaN,NaN,NaN,NaN,NaN,93.1357465726618,1.0472873441126112,5.332386805818665,4.285099461706054,100,97.2173542505257
1362960000,46.48668124,49.88549599,45.07719264,47.66746644,51806.03722619,67382.38258406843,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.20851098799999,48.82998928765877,23.587032688341218,NaN,NaN,NaN,NaN,NaN,NaN,93.58985811579097,1.019017675723279,5.5588715563601525,4.539853880636874,100,98.60867712526284
1363046400,47.71859119,48.85034778,37.41179961,43.91924496,208451.98695396,75579.29965387893,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.90839016049999,49.60990894566687,24.206871375333115,NaN,NaN,NaN,NaN,NaN,NaN,74.14635199545327,0.6672884852702872,5.3739644872247325,4.706676001954445,66.66666666666667,88.88888888888887
1363132800,44.23208258,47.31109811,43.74037177,46.52155093,60062.27537388,76447.51675596494,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.7470364885,50.6600296177927,24.8340433592073,NaN,NaN,NaN,NaN,NaN,NaN,77.62233993407114,0.5350142986409789,5.3754438752556695,4.8404295766146905,39.29245736700752,68.65304134455805
1363219200,46.44464845,49.58784318,43.89125344,47.02801142,45795.00816075,74768.31549207095,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38.58305616,51.62560137208502,25.540510947914974,NaN,NaN,NaN,NaN,NaN,NaN,78.23564166855701,0.4122529202289895,5.355745726900928,4.943492806671938,12.969673207598433,39.64293241375753
1363305600,46.17941442,47.87718757,43.30261223,46.18313503,25294.60418844,71841.80497306894,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39.4038220625,52.187558227971294,26.6200858970287,NaN,NaN,NaN,NaN,NaN,NaN,74.56431652611272,0.21471056951616774,5.211881018567148,4.99717044905098,13.686218409670227,21.98278299475872
1363392000,46.26186085,48.58590874,43.8,47.59083751,21088.43018181,71492.07878726043,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.288864157499994,52.762579640168155,27.815148674831832,NaN,NaN,NaN,NaN,NaN,NaN,76.53971145305374,0.1239174027900134,5.152067202538497,5.028149799748483,11.830194305243614,12.828695307504079
1363478400,47.0282685,48.43089557,43.73298773,46.07388137,18789.55570239,70852.27422607543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.072558733499996,52.91621471485243,29.22890275214756,NaN,NaN,NaN,NaN,NaN,NaN,70.21170553376732,-0.0821352290797508,4.925480763398795,5.007615992478546,4.819645131319368,10.112019282077723
1363564800,47.39439628,51.0083874,44.0948819,50.50715063,79143.91460021,72243.37140820343,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42.036073157,53.655576858146794,30.4165694558532,NaN,NaN,NaN,NaN,NaN,NaN,76.36234436943936,0.030288045711673206,5.045476049618138,5.015188003906465,12.872881621922895,9.840907019495281
1363651200,50.37932297,59.17148185,49.39526954,58.48776984,134139.58889437,77040.09065511644,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.40267816749999,55.97238213417659,30.832974200823394,NaN,NaN,NaN,NaN,NaN,NaN,83.11942372675136,0.5627469890293879,5.7186217401932,5.155874751163812,27.174027776273448,14.955518176505237
1363737600,57.84649804,66.0505552,57.29416902,64.09249097,108446.48924704,75375.34911471193,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.936213212,59.57453908064028,30.29788734335972,NaN,NaN,NaN,NaN,NaN,NaN,86.12023585982018,1.1776568951263435,6.627945870071741,5.450288974945398,49.85692978665377,29.967946394950037
1363824000,64.46642238,74.09184754,63.44878453,69.68144167,118839.8261877,78937.03316385993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.690965120499996,64.09801889957959,29.28391134142041,NaN,NaN,NaN,NaN,NaN,NaN,88.34517548559015,1.808320323705206,7.710689379576905,5.9023690558716995,66.9424416751692,47.991133079365476
1363910400,70.32364076,74.13045024,65.95482277,68.93125323,88424.63434838,81269.68992489892,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.42502778199999,67.37095579897901,29.479099765020965,NaN,NaN,NaN,NaN,NaN,NaN,86.34441469978925,2.007126757598038,8.411277502869247,6.404150745271209,71.54073911223544,62.78003685801948
1363996800,69.84328435,70.8954063,52.76977447,65.22667403,180161.67186367,89476.08879890441,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.986481281999986,69.06590979541555,30.90705276858442,NaN,NaN,NaN,NaN,NaN,NaN,77.06305220854466,1.7317148677169891,8.568794329917445,6.837079462200456,58.62671091219148,65.70329723319871
1364083200,64.84927401,72.22380315,62.79788242,71.44833866,52248.60471452,89124.90075077242,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51.759136291999994,71.86949826145515,31.648774322544835,NaN,NaN,NaN,NaN,NaN,NaN,80.79650135894848,1.8030324292358966,9.090869998745326,7.2878375695094295,47.86356485070424,59.34367162504372
1364169600,71.99667829,76.97934678,69.66055026,74.02407078,96396.76580089,88911.43418437593,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53.42650210549999,75.0572174861105,31.795786724889478,NaN,NaN,NaN,NaN,NaN,NaN,82.09579813288556,1.8511503383578019,9.601775492456682,7.75062515409888,46.706615197240524,51.065630320045415
1364256000,73.68455832,79.81242787,72.16541858,78.61077613,71848.3438887,85000.33723206293,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55.261556387,78.81448174096988,31.70863103303012,NaN,NaN,NaN,NaN,NaN,NaN,84.15209029764037,2.006321201970108,10.258526656561514,8.252205454591406,62.56325560804698,52.37781188533058
1364342400,77.80348135,89.88887356,77.69282368,88.80065553,92778.53083909,80310.50568429443,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57.61594908299999,84.4641914076869,30.767706758313086,NaN,NaN,NaN,NaN,NaN,NaN,87.56810711367135,2.5734651363967878,11.46903687508739,8.895571738690602,79.37601767637172,62.88196282721973
1364428800,89.7158903,96.7138371,79.18533989,89.00432476,170164.0007113,86074.99765501994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.849548604999995,89.22006766612881,30.479029543871174,NaN,NaN,NaN,NaN,NaN,NaN,87.62552087506448,2.725933137115751,12.302988160085292,9.57705502296954,89.54087260461642,77.16004862967837
1364515200,88.16033638,95.51534483,86.10666739,89.42173709,100784.40567935,88392.52220543394,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61.993496687499984,93.35796958828114,30.62902378671883,NaN,NaN,NaN,NaN,NaN,NaN,87.750381595352,2.6179253039355252,12.849461652888948,10.231536348953423,96.15532883255958,88.35740637118256
1364601600,90.48478401,94.86848804,88.54037413,92.77943314,44482.43012378,88457.35523432093,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64.30001220599999,97.54027272638352,31.05975168561646,NaN,NaN,NaN,NaN,NaN,NaN,88.73504783934293,2.5339934700645443,13.399028186534103,10.865034716469559,97.58375257786467,94.42665133834687
1364688000,93.65598748,98.77964574,89.79454937,93.24955217,26162.23476119,87175.16511107092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66.57911649249999,101.16848640815225,31.989746576847736,NaN,NaN,NaN,NaN,NaN,NaN,88.86994872163828,2.2794979483508477,13.71440715190812,11.434909203557272,98.90663711575262,97.54857284205895
1364774400,93.95436269,106.9611857,91.67087055,104.69372083,114754.64523326,82490.29802503591,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69.61784028599999,106.32396782863316,32.91171274336681,NaN,NaN,NaN,NaN,NaN,NaN,91.52925401770264,2.626580260333615,14.71813452897429,12.091554268640675,100,98.83012989787242
1364860800,104.55625401,118.35037353,100.5463144,118.09621706,106491.86337433,84811.77742505842,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73.19657359249999,113.93296220741048,32.46018497758949,NaN,NaN,NaN,NaN,NaN,NaN,93.49075239322778,3.451514658448767,16.405947591701633,12.954432933252866,100,99.63554570525086
1364947200,118.64421639,149.50753016,113.45455575,135.85051929,199234.87563604,92483.77079882292,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77.63769898599999,124.84684673725368,30.4285512347463,NaN,NaN,NaN,NaN,NaN,NaN,95.1071013088211,4.802568454561204,18.95764350145437,14.155075046893167,100,100
